,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
8450,C7H6N2O3,645-09-0,166.134,,142.7,312.5,,,"s H2O, EtOH, eth",NC(=O)c1cccc(c1)[N+]([O-])=O
8465,C8H9NO3,15121-84-3,167.162,,1.0,267.0,1.1925,1.563720,,OCCc1ccccc1[N+]([O-])=O
8467,C7H7NO3,612-25-9,153.136,nd (w),74,270.0,,,"sl H2O; s EtOH, eth",OCc1ccccc1[N+]([O-])=O
8489,C7H4ClNO3,121-90-4,185.565,,36,276.5,,,vs eth,[O-][N+](=O)c1cccc(c1)C(Cl)=O
8491,C12H9NO2,86-00-0,199.205,"pl (al, MeOH)",37(1),320.0,1.4425,,"i H2O; s EtOH, eth, chl",[O-][N+](=O)c1ccccc1c2ccccc2
8493,C12H9NO2,92-93-3,199.205,ye nd (al),112.9(7),340.0,,,"i H2O; sl EtOH; s eth, bz, chl, HOAc",[O-][N+](=O)c1ccc(cc1)c2ccccc2
8499,C6H11NO2,1122-60-7,129.157,liq,-34,205.0,1.061020,1.461219,"i H2O; s EtOH, lig",[O-][N+](=O)C1CCCCC1
8501,C4H10N2O2,7119-92-8,118.134,,,206.5,1.05715,,"vs eth, EtOH",CCN(CC)[N+]([O-])=O
8505,C2H3NO2,3638-64-0,73.051,liq,-55(2),98.5,1.221214,1.428220,"vs EtOH, eth, ace, bz, chl",[O-][N+](=O)C=C
8506,C8H9NO2,6125-24-2,151.163,liq,-23,250.0,1.12624,1.540719,,[O-][N+](=O)CCc1ccccc1
8518,C6H13NO2,646-14-0,131.173,,,193.0,0.939620,1.427020,"i H2O; s EtOH, eth, ace, bz, alk",CCCCCC[N+]([O-])=O
8534,C10H7NO2,581-89-5,173.169,ye orth nd or pl (al),75(1),314.0,,,"i H2O; vs EtOH, eth",[O-][N+](=O)c1ccc2ccccc2c1
8536,C8H17NO2,629-37-8,159.227,,15,208.5,0.934620,1.432220,,CCCCCCCC[N+]([O-])=O
8537,C5H11NO2,628-05-7,117.147,,,172.5,0.952520,1.417520,"s EtOH, eth, bz",CCCCC[N+]([O-])=O
8538,C5H11NO2,551-88-2,117.147,,,154.0,0.9570,,"vs ace, eth, EtOH",CCC(CC)[N+]([O-])=O
8540,C6H5NO3,88-75-5,139.109,"ye nd or pr (eth, al)",44.9(5),216.0,1.294240,1.572350,"sl H2O; vs EtOH, eth, ace, bz, py",Oc1ccccc1[N+]([O-])=O
8544,C12H9NO3,620-88-2,215.204,"pl (peth), MeOH)",61,320.0,,,"i H2O; sl EtOH, ctc; s eth, bz",[O-][N+](=O)c1ccc(Oc2ccccc2)cc1
8558,C8H7NO3,121-89-1,165.147,nd (al),81(1),202.0,,,"vs H2O, eth; sl EtOH, chl",CC(=O)c1cccc(c1)[N+]([O-])=O
8601,C6H14N2O,621-64-7,130.187,gold,,206.0,0.916320,1.443720,"sl H2O; msc EtOH, eth",CCCN(CCC)N=O
8604,C3H6N2O,4549-40-0,86.092,ye liq,,47.0,,,sl H2O,CN(C=C)N=O
8605,C4H8N2O2,59-89-2,116.119,,29,225.0,,,s H2O,O=NN1CCOCC1
8613,C4H8N2O,930-55-2,100.119,,,214.0,1.08525,1.488025,,O=NN1CCCC1
8617,C4H3NO2S,609-40-5,129.138,lt ye mcl nd (peth),46.5,224.5,1.364443,,i H2O; vs EtOH; s alk; sl peth,[O-][N+](=O)c1sccc1
8621,C7H4F3NO2,384-22-5,191.108,cry (al),32.5,217.0,,,"i H2O; vs EtOH, HOAc, bz; sl ctc",[O-][N+](=O)c1ccccc1C(F)(F)F
8622,C7H4F3NO2,98-46-4,191.108,liq,-2.4,202.8,1.435715,1.471920,"i H2O; s EtOH, eth; sl ctc",[O-][N+](=O)c1cccc(c1)C(F)(F)F
8624,C8H7NO2,5153-67-3,149.148,"ye pr (peth, al)",57(4),255.0,,,"i H2O; s EtOH, ace; vs eth, chl, CS2",[O-][N+](=O)/C=C/c1ccccc1
8634,C19H40O,1454-84-8,284.520,cry (ace),61.4(5),345.0,,1.432875,"s eth, ace",CCCCCCCCCCCCCCCCCCCO
8638,C25H44,29136-19-4,344.617,,29.5(3),419.0,0.854520,1.480720,,CCCCCCCCCCCCCCCCCCCc1ccccc1
8645,C9H16O4,123-99-9,188.221,lf or nd,106.5,357.1,1.22525,1.4303111,"sl H2O, eth, bz, DMSO; s EtOH",OC(=O)CCCCCCCC(O)=O
8653,C9H20O,74683-66-2,144.254,liq,-35,193.5,0.847120,1.435320,"i H2O; vs eth, EtOH",CCCCCCCC(C)O
8654,C9H20O,74742-08-8,144.254,,22,195.0,0.825020,1.428920,"i H2O; s EtOH, eth",CCCCCCC(O)CC
8655,C9H20O,52708-03-9,144.254,,,192.5,0.828220,1.419720,"i H2O; s EtOH, eth",CCCCCC(O)CCC
8666,C9H18O,21964-44-3,142.238,,,193.5,0.82421,1.438215,,CCCCCCC(O)C=C
8672,C14H28,2882-98-6,196.372,liq,-29,262.0,0.808120,1.446720,"vs ace, bz, eth, EtOH",CCCCCCCCCC1CCCC1
8674,C19H26,26438-26-6,254.409,,8,366.0,0.937120,1.547720,,CCCCCCCCCc1cccc2ccccc12
8680,C11H14O2,95-39-6,178.228,col liq,,104.0,1.02925,,s os,C=CC(=O)OCC1CC2CC1C=C2
8709,C5Cl8,706-78-5,343.678,nd,40,283.0,1.820050,1.566050,i H2O; vs EtOH,ClC1=C(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)Cl
8714,C80H162,7667-88-1,1124.140,,112,672.0,,,,
8720,C18H30,2090-14-4,246.431,,115,353.0,,,vs EtOH,C1CCC2C(C1)CCC3C4CCCCC4CCC23
8724,C18H35N,638-65-3,265.478,,42(1),362.0,0.832520,1.438945,"i H2O; s EtOH; vs eth, ace, chl",CCCCCCCCCCCCCCCCCC#N
8737,C18H34O2,112-80-1,282.462,liq,14(1),360.0,0.893520,1.458220,"i H2O; msc EtOH, eth, ace, bz, chl, ctc",CCCCCCCC/C=C/CCCCCCCC(O)=O
8745,C24H42,4445-07-2,330.590,,35(2),400.0,0.8536,1.47936,,CCCCCCCCCCCCCCCCCCc1ccccc1
8746,C24H48,4445-06-1,336.638,,41.5(2),409.0,0.830020,1.461020,,CCCCCCCCCCCCCCCCCCC1CCCCC1
8754,C8H10,871-84-1,106.165,,,135.5,0.816921,1.452118,s eth,C#CCCCCC#C
8762,C14H18,5325-97-3,186.293,,16.7,295.0,1.02620,1.556917,"i H2O; s ace, bz, CS2, HOAc",C1CCc2c(C1)ccc3CCCCc23
8763,C10H19NO,486-70-4,169.264,orth (peth),70,270.0,,,"s H2O, EtOH, eth, bz, chl; sl peth",OC[C@@H]1CCCN2CCCC[C@H]12
8766,C8H26O3Si4,16066-09-4,282.632,,,170.0,0.855920,1.385420,,C[Si](O[Si](C)O[Si](C)(C)C)O[Si](C)(C)C
8769,C8H17NO,629-01-6,143.227,"lf, pl",105(1),239.0,0.8450110,,"sl H2O, bz, chl; vs EtOH; s eth, ace",CCCCCCCC(N)=O
8772,C8H20N2,373-44-4,144.258,pl,51.7(3),225.6,,,"vs H2O, eth, EtOH",[Cl-].[Cl-].[NH3+]CCCCCCCC[NH3+]
8774,C8H14O4,505-48-6,174.195,lo nd or pl (w),142.3(3),345.5,,,"i H2O; msc eth, bz; sl DMSO",OC(=O)CCCCCCC(O)=O
8781,C16H30O3,623-66-5,270.407,liq,-1,282.5,0.906518,1.435818,"vs ace, eth, EtOH",CCCCCCCC(=O)OC(=O)CCCCCCC
8785,C8H18O,74778-22-6,130.228,liq,-40.7,176.3,0.818620,1.424820,"sl H2O, ctc; s EtOH",
8801,C8H16O,3391-86-4,128.212,,,174.0,0.839513,1.439112,,CCCCCC(O)C=C
8809,C14H23N,16245-79-7,205.340,,20,310.0,0.912820,,vs eth,CCCCCCCCc1ccc(N)cc1
8817,C9H18O2,112-32-3,158.238,liq,-39.1(5),198.8,0.874420,1.420815,i H2O; s EtOH; msc eth; sl ctc,CCCCCCCCOC=O
8822,C8H17NO2,629-46-9,159.227,,,174.5,0.86217,1.412720,"sl H2O; vs EtOH, eth",CCCCCCCCON=O
8823,C16H32O2,2306-88-9,256.424,liq,-18.1(3),306.8,0.855420,1.435220,"vs ace, eth, EtOH",CCCCCCCCOC(=O)CCCCCCC
8852,C2H2N2O,288-99-3,70.049,,,150.0,,1.430025,,o1cnnc1
8858,C2Cl2O2,79-37-8,126.926,liq,-16,63.5,1.478520,1.431620,s eth,ClC(=O)C(Cl)=O
8870,C6H10O2,502-44-3,114.142,liq,-1.02(4),215.0,1.076120,1.461120,"s EtOH, eth, ace",O=C1CCCCCO1
8873,C3H4O2,6704-31-0,72.063,unstab liq,,106.0,1.137,,,
8875,C3H4O2,765-34-4,72.063,liq,-62,112.5,1.140320,1.426520,,O=CC1CO1
8879,C9H8O3,15206-55-0,164.158,,,247.0,,1.526820,,COC(=O)C(=O)c1ccccc1
8880,C8H5NO,613-90-1,131.132,,32.5,206.0,,,"i H2O; vs EtOH, eth; sl chl",O=C(C#N)c1ccccc1
8891,C6H10O3,3128-06-1,130.141,,13.5,274.5,1.0925,1.445120,"s H2O, EtOH, eth; sl ctc",CC(=O)CCCC(O)=O
8896,C5H8O3,1821-02-9,116.116,,6.5,179.0,1.097014,,"sl H2O; s eth, bz, chl, lig, CS2",CCCC(=O)C(O)=O
8942,C10H14NO5PS,56-38-2,291.261,ye liq,6.1(9),375.0,1.268120,1.537025,"i H2O; s eth, ace; sl ctc; vs EtOH, AcOEt",CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O
8969,C2Cl5F,354-56-3,220.284,col liq,101(4),138.0,1.7425,,"i H2O; s EtOH, eth",FC(Cl)(Cl)C(Cl)(Cl)Cl
8973,C3HCl5,1600-37-9,214.305,,,185.0,1.631734,1.531320,vs eth,ClC(Cl)C(Cl)=C(Cl)Cl
8974,C5Cl5N,2176-62-7,251.326,,124.0(5),280.0,,,"vs bz, EtOH, lig",Clc1nc(Cl)c(Cl)c(Cl)c1Cl
8975,C7H3Cl5,877-11-2,264.364,"nd (bz, peth)",224(2),301.0,,,"sl EtOH, eth, CS2; s bz, tol, peth",Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
8976,C50H102,6596-40-3,703.345,,91.7(6),575.0,,,,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
8977,C25H52,629-99-2,352.681,,53.3(4),401.9,0.801220,1.449120,"s bz, chl",CCCCCCCCCCCCCCCCCCCCCCCCC
8980,C8H3F15O,307-30-2,400.085,waxy solid,47,164.0,,,,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
8985,C15H30O,2345-28-0,226.398,,39.0(2),294.0,0.818239,,,CCCCCCCCCCCCCC(C)=O
8990,C21H36,2131-18-2,288.511,,12.0(4),373.0,0.854820,1.481520,,CCCCCCCCCCCCCCCc1ccccc1
9000,C5H8O,922-65-6,84.117,,,115.5,0.86023,1.440017,,OC(C=C)C=C
9010,C6H2F5N,771-60-8,183.079,,34(1),153.5,,,,Nc1c(F)c(F)c(F)c(F)c1F
9011,C7H3F5O,389-40-2,198.090,liq,-30(1),138.5,1.49320,1.408720,,COc1c(F)c(F)c(F)c(F)c1F
9012,C7HF5O,653-37-2,196.074,,20,167.0,,1.450620,,Fc1c(F)c(F)c(C=O)c(F)c1F
9014,C6HF5S,771-62-0,200.129,liq,-24,143.0,1.50125,1.464520,,Fc1c(F)c(F)c(S)c(F)c1F
9015,C7HF5O2,602-94-8,212.074,,103.3(5),220.0,,,,OC(=O)c1c(F)c(F)c(F)c(F)c1F
9017,C2HF5,354-33-6,120.021,col gas,-100.63,-48.09,,,,FC(F)C(F)(F)F
9023,C5F8,384-04-3,212.041,,,39.0,1.5270,1.30000,"vs ace, bz, eth",
9027,C11H16,700-12-9,148.245,pr (al),54(2),232.0,0.91720,1.52720,"i H2O; vs EtOH, bz; s chl",Cc1cc(C)c(C)c(C)c1C
9034,C11H16O,2819-86-5,164.244,"nd (al, peth, ace)",128,267.0,,,i H2O; s EtOH,Cc1c(C)c(C)c(O)c(C)c1C
9035,C10H21N,79-55-0,155.281,,,147.0,0.85800,1.455021,,C[NH+]1C(C)(C)CCCC1(C)C
9036,C5H15NSi,2083-91-2,117.266,,,86.0,0.740020,1.437924,,CN(C)[Si](C)(C)C
9038,C5H11NO,626-97-1,101.147,"mcl pl (peth, al)",104(2),225.0,0.8735110,1.4183110,"vs H2O, EtOH, eth; sl chl",CCCCC(N)=O
9043,C5H6N2,544-13-8,94.115,liq,-28.9(1),286.0,0.991115,1.429520,"vs EtOH, chl",N#CCCCC#N
9045,C5H12O2,91049-43-3,104.148,,,209.0,0.972320,1.439719,,CCCC(O)CO
9046,C5H12O2,626-95-9,104.148,,,202.0,0.988320,1.445223,"vs H2O, EtOH, chl",CC(O)CCCO
9048,C5H12O2,42027-23-6,104.148,,,187.5,0.979819,1.441225,"s H2O, EtOH; sl eth",CCC(O)C(C)O
9054,C5H6Cl2O2,2873-74-7,169.006,,,217.0,1.32420,1.472820,s eth; sl chl,ClC(=O)CCCC(Cl)=O
9078,C5H7N,16529-66-1,81.117,liq,,144.0,0.837,1.422020,,CC\C=C\C#N
9079,C5H7N,592-51-8,81.117,,,140.0,0.823924,1.421314,"i H2O; msc EtOH, eth",C=CCCC#N
9080,C5H8O2,1617-32-9,100.117,,,193.2,0.98919,,,C\C=C\CC(O)=O
9081,C5H8O2,591-80-0,100.117,liq,-22.5,188.5,0.980920,1.428120,"sl H2O; vs EtOH, eth",OC(=O)CCC=C
9083,C5H10O,1576-95-0,86.132,,,138.0,0.852920,1.435420,"s EtOH, eth, ace",CC\C=C/CO
9084,C5H10O,1576-96-1,86.132,,,138.0,0.847120,1.434120,"s EtOH, eth, ace",CC/C=C/CO
9087,C5H10O,625-31-0,86.132,,,116.0,0.836720,1.422520,"vs H2O; msc EtOH, eth",CC(O)CC=C
9089,C5H8O,3102-33-8,84.117,,,122.0,0.862420,1.435020,"s H2O, eth, ace, ctc",C/C=C/C(C)=O
9090,C10H13N,2057-43-4,147.217,,,216.0,0.923425,1.507625,,C/C=C/CCc1ccccn1
9100,C7H14O2,54638-10-7,130.185,,,142.0,0.880318,1.401220,"vs eth, EtOH",
9102,C11H17N,2049-92-5,163.260,,,260.5,,,,CCC(C)(C)c1ccc(N)cc1
9116,C5H11NO2,463-04-7,117.147,,,104.5,0.881720,1.385120,"sl H2O; msc EtOH, eth",CCCCCON=O
9121,C11H16O,14938-35-3,164.244,,18(1),250.5,0.96020,1.527225,"vs eth, EtOH",CCCCCc1ccc(O)cc1
9123,C12H16O3,2050-08-0,208.253,,,270.0,1.06415,1.50620,"sl H2O; msc EtOH, eth",CCCCCOC(=O)c1ccccc1O
9129,C5H8O,10229-10-4,84.117,,,154.0,0.900220,1.445420,,CC#CCCO
9138,C4F8,115-25-3,200.030,col gas,-40.16(22),-5.91,1.50025 (p>1 atm),,i H2O; s eth,FC1(F)C(F)(F)C(F)(F)C1(F)F
9146,C4H2F8O,156053-88-2,218.045,vol liq or gas,,27.89,,,,
9150,C6F12,755-25-9,300.045,,,57.0,,,vs chl,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
9151,C4F10,354-92-7,238.027,col gas,,0.0,,,,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F
9152,C4F8,382-21-8,200.030,col gas,-130,7.0,1.59220,,,FC(F)=C(C(F)(F)F)C(F)(F)F
9161,C8F18O2S,307-35-7,502.121,liq,,154.0,,,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](F)(=O)=O
9171,C2H4O3,79-21-0,76.051,liq,-0.2,110.0,1.22615,1.397420,"vs H2O, eth, sulf; s EtOH",CC(=O)OO
9180,C10H16,99-83-2,136.234,,238,174.9,0.841020,1.47125,i H2O; s eth,CC(C)[C@H]1CC=C(C)C=C1
9186,C12H8N2,230-46-6,180.205,"pl (anh), nd (w+2)",77.2(5),360.0,,,"s H2O; vs EtOH; i eth, bz, lig",c1cnc2c(c1)ccc3ncccc23
9208,C12H9NS,92-84-2,199.271,ye pr (al) ye lf or pl (tol),184.9(6),371.0,,,"vs ace, bz, eth, EtOH",N1c2ccccc2Sc3ccccc13
9212,C8H7ClO2,701-99-5,170.594,,,225.5,,,s eth,ClC(=O)COc1ccccc1
9214,C12H11NO,2688-84-8,185.221,cry (lig),45.8,308.0,,,"s EtOH; s eth, ace, bz",Nc1ccccc1Oc2ccccc2
9215,C12H11NO,3586-12-7,185.221,pr (lig),37,315.0,1.158325,,"s EtOH, eth, ace, bz; sl lig",Nc1cccc(Oc2ccccc2)c1
9221,C13H10O3,2243-42-7,214.216,lf (dil al),113(2),355.0,1.155350,,"i H2O; vs EtOH, eth; s chl",OC(=O)c1ccccc1Oc2ccccc2
9226,C12H16O3,23511-70-8,208.253,,,251.0,1.038821,,"vs ace, eth, EtOH",CCCC(=O)OCCOc1ccccc1
9231,C9H10O3,940-31-8,166.173,nd (w),115.5,266.0,1.186520,1.518420,,CC(Oc1ccccc1)C(O)=O
9232,C9H12O2,4169-04-4,152.190,,,244.0,0.980125,1.476025,"s EtOH, eth",CC(CO)Oc1ccccc1
9233,C9H12O2,770-35-4,152.190,,,233.0,1.062220,1.523220,,CC(O)COc1ccccc1
9234,C9H10O2,621-87-4,150.174,,,229.5,1.090320,1.522820,"s eth, ace",CC(=O)COc1ccccc1
9235,C9H9ClO2,122-35-0,184.619,,,147.0,1.186520,1.517820,s eth,CC(Oc1ccccc1)C(Cl)=O
9241,C14H12O,451-40-1,196.244,pl (al),56(3),320.0,1.2010,,"sl H2O; s EtOH, eth, ctc, chl",O=C(Cc1ccccc1)c2ccccc2
9247,C19H13N,602-56-2,255.313,"ye nd, lf (al)",184,404.0,,,i H2O; sl EtOH; s eth; vs bz,c1ccc(cc1)c2c3ccccc3nc4ccccc24
9255,C12H11NO,101-18-8,185.221,lf (w),81.5,340.0,,,"sl H2O; vs EtOH, eth, ace; s bz, acid",Oc1cccc(Nc2ccccc2)c1
9256,C12H11NO,122-37-2,185.221,lf (w),73,330.0,,,"sl H2O; vs EtOH, eth, bz, chl; s acid",Oc1ccc(Nc2ccccc2)cc1
9257,C20H14,602-55-1,254.325,bl lf (al)(HOAc),154(4),417.0,,,"i H2O; s EtOH, eth, bz, chl, CS2",c1ccc(cc1)c2c3ccccc3cc4ccccc24
9274,C12H12N2,534-85-0,184.236,nd(w),79.5,313.0,,,"sl H2O, lig; s ace, bz, chl",Nc1ccccc1Nc2ccccc2
9275,C12H12N2,101-54-2,184.236,nd(al),75(1),354.0,,,"sl H2O, chl; vs EtOH; s eth, lig",Nc1ccc(Nc2ccccc2)cc1
9276,C14H15N,25611-78-3,197.276,,,311.0,1.03115,,"vs eth, EtOH",[NH3+][C@@H](Cc1ccccc1)c2ccccc2
9278,C13H13N,91-00-9,183.249,hex pl,34,304.0,1.063320,1.5963,sl H2O; s ace,NC(c1ccccc1)c2ccccc2
9279,C13H11N,1013-88-3,181.233,,,282.0,1.084719,1.619119,vs eth,N=C(c1ccccc1)c2ccccc2
9283,C13H10O2,93-99-2,198.217,mcl pr (eth-al),63(8),314.0,1.23520,,"i H2O; s EtOH, eth, chl",O=C(Oc1ccccc1)c2ccccc2
9284,C13H10O2,947-84-2,198.217,lf (dil al),112(3),343.5,,,"i H2O; vs EtOH, bz, HOAc",OC(=O)c1ccccc1c2ccccc2
9288,C13H9NS,883-93-2,211.282,nd (dil al),115,371.0,,,"i H2O; s EtOH, eth, CS2",s1c2ccccc2nc1c3ccccc3
9296,C10H12O,495-40-9,148.201,,12,228.5,0.98820,1.520320,"i H2O; msc EtOH, eth; vs ace; s ctc",CCCC(=O)c1ccccc1
9297,C10H12O,1007-32-5,148.201,,,228.0,0.987720,,"i H2O; s EtOH, ctc; msc eth; vs ace",CCC(=O)Cc1ccccc1
9303,C10H10O,1896-62-4,146.185,pl,41(3),261.0,1.009745,1.583645,"i H2O; vs EtOH; s eth, ace, bz; sl peth",CC(=O)\C=C\c1ccccc1
9305,C8H7ClO2,620-73-5,170.594,nd or pl (al),44.5,232.5,1.220244,1.514644,"i H2O; vs EtOH, eth",ClCC(=O)Oc1ccccc1
9311,C11H10O,3810-26-2,158.196,liq,-23,234.2,0.971120,1.544020,"s EtOH, ace, chl; sl eth",O=C1CCC(=C1)c2ccccc2
9313,C10H12O2,772-01-0,164.201,nd (peth),48(2),253.0,1.605360,,"vs EtOH, eth",C1COC(OC1)c2ccccc2
9314,C10H12O2,772-00-9,164.201,,,247.0,1.103820,1.530618,i H2O; s os,C1CC(OCO1)c2ccccc2
9316,C8H10O2,93-56-1,138.164,nd (lig),66(3),273.0,,,"vs H2O, eth, bz, EtOH; sl lig",OCC(O)c1ccccc1
9318,C8H9NO,613-91-2,135.163,nd (w),60,245.0,1.051578,,"sl H2O; vs EtOH, eth, ace, bz; s ctc",C\C(=N/O)c1ccccc1
9323,C12H16O2,103-48-0,192.254,,,250.0,0.995015,1.487120,,CC(C)C(=O)OCCc1ccccc1
9326,C13H13N,2116-62-3,183.249,liq,-1.5,289.0,1.04650,,,C(Cc1ccccn1)c2ccccc2
9334,C12H16O,942-92-7,176.254,fl,27,265.0,0.957620,1.502725,"sl H2O, ctc; s EtOH, eth, ace",CCCCCC(=O)c1ccccc1
9341,C9H8N2,7164-98-9,144.173,,13,276.0,1.139715,1.602525,"i H2O; vs eth, ace, chl",c1ccc(cc1)n2ccnc2
9342,C9H8N2,670-96-2,144.173,lf (bz),148.2(5),340.0,,,vs EtOH,[nH]1ccnc1c2ccccc2
9345,C7H5Cl2N,622-44-6,174.028,liq,,210.0,1.2815,,,ClC(Cl)=Nc1ccccc1
9367,C13H11N,538-51-2,181.233,pa ye nd (CS2) pl (dil al),56(5),310.0,1.03855,1.600100,"i H2O; s EtOH, eth, NH3; sl chl",c1ccc(cc1)C=Nc2ccccc2
9371,C11H12O,28467-92-7,160.212,,18,243.0,1.020122,1.57820,,CC/C(C=O)=C/c1ccccc1
9372,C9H11N,6852-54-6,133.190,,,195.0,0.93720,1.537815,"i H2O; s EtOH, eth",CCN=Cc1ccccc1
9374,C8H9N,622-29-7,119.164,,,185.0,0.967114,1.552620,"s EtOH, eth, ace, chl",CN=Cc1ccccc1
9375,C15H20O,101-86-0,216.319,liq,4,252.0,,,,CCCCCC\C(C=O)=C/c1ccccc1
9379,C10H14O,100-86-7,150.217,nd,24,215.0,0.978716,1.517316,,CC(C)(O)Cc1ccccc1
9383,C16H13N,135-88-6,219.281,,108(1),395.5,,,"i H2O; s EtOH, eth, bz, HOAc; sl chl",N(c1ccccc1)c2ccc3ccccc3c2
9384,C16H12,605-02-7,204.266,cry,45,334.0,1.09620,1.666420,"i H2O; vs EtOH, eth, bz, HOAc; s ctc",c1ccc(cc1)c2cccc3ccccc23
9386,C16H12,612-94-2,204.266,lf (al),101(2),345.5,1.218020,,"s EtOH, bz, chl, HOAc; vs eth",c1ccc(cc1)c2ccc3ccccc3c2
9388,C8H8O,96-09-3,120.149,colorless liq,-35.6,194.1,1.049025,1.534220,"i H2O; s EtOH, eth, chl",C1OC1c2ccccc2
9395,C6H7P,638-21-1,110.094,,,160.5,1.00115,1.579620,,Pc1ccccc1
9398,C6H5Cl2OP,824-72-6,194.983,,1,258.0,1.395725,1.558125,sl DMSO,Cl[P](Cl)(=O)c1ccccc1
9401,C6H5Cl2O2P,770-12-7,210.983,hyg liq,,242.0,1.41220,1.523020,,Cl[P](Cl)(=O)Oc1ccccc1
9402,C10H14N2,92-54-6,162.231,pa ye oil,,286.5,1.062120,1.587520,"i H2O; msc EtOH, eth; s chl",[H+].[Cl-].C1CN(CCN1)c2ccccc2
9404,C11H15N,771-99-3,161.244,,60.5,257.0,0.999616,,s chl,C1CC(CCN1)c2ccccc2
9405,C9H11NO,620-71-3,149.189,"pl (eth, al, bz)",105.5,222.2,1.17525,,"sl H2O; vs EtOH, eth",CCC(=O)Nc1ccccc1
9407,C9H8O2,579-07-7,148.159,ye oil,<20,222.0,1.100620,1.53710,"s H2O, EtOH, eth",CC(=O)C(=O)c1ccccc1
9415,C9H7N,24840-05-9,129.159,liq,-4.4,249.0,1.028920,1.584320,i H2O; s EtOH; vs bz,
9416,C9H7N,1885-38-7,129.159,,22,263.8,1.030420,1.601320,"i H2O; s EtOH, ace, ctc",N#C/C=C/c1ccccc1
9418,C9H10O,4510-34-3,134.174,wh nd (eth-peth),34,257.5,1.044020,1.581920,"vs eth, EtOH",OC/C=C/c1ccccc1
9420,C11H12O2,21040-45-9,176.212,,,265.0,1.056720,1.542520,"i H2O; s EtOH, eth, ace, bz, chl",
9421,C9H7ClO,17082-09-6,166.604,ye cry,37.5,257.5,1.161745,1.61442,"i H2O; s EtOH, ctc, lig",ClC/C=C/c1ccccc1
9424,C9H13N,51-64-9,135.206,oil,27.5,203.5,0.94915,1.470420,"sl H2O; s EtOH, eth",C[C@H](N)Cc1ccccc1
9426,C14H15N,2057-49-0,197.276,,,322.0,1.02425,1.561625,"vs bz, eth, py, EtOH",C(Cc1ccccc1)Cc2ccncc2
9433,C11H9N,1008-89-5,155.196,,,271.0,1.083325,1.621020,"sl H2O; msc EtOH, eth",c1ccc(cc1)c2ccccn2
9435,C11H9N,939-23-1,155.196,pl (w),74(3),281.0,,,"s H2O, EtOH, eth",c1ccc(cc1)c2ccncc2
9436,C12H9NO,91-02-1,183.205,,43.3(2),317.0,1.155620,,s chl,O=C(c1ccccc1)c2ccccn2
9437,C12H9NO,14548-46-0,183.205,"nd (peth), pl (w)",75(2),315.0,,,"sl H2O; s EtOH, eth, bz",O=C(c1ccccc1)c2ccncc2
9438,C10H9N,635-90-5,143.185,"pl (sub), red in air",61(1),234.0,,,"i H2O; s EtOH, eth, ace, bz; vs peth",c1ccc(cc1)n2cccc2
9442,C10H9NO2,83-25-0,175.184,"mcl pr or nd (w, al)",156,400.0,1.35625,,"i H2O; s EtOH, eth",O=C1CCC(=O)N1c2ccccc2
9443,C15H11N,612-96-4,205.255,nd (dil al),83(1),363.0,,,"sl H2O, peth; vs EtOH, eth, ace, bz",c1ccc(cc1)c2ccc3ccccc3n2
9446,C6H8Si,694-53-1,108.214,,,119.0,0.868120,1.512520,i H2O,[SiH2]c1ccccc1
9449,C24H20O4Si,1174-72-7,400.500,,49,417.0,1.141260,,,O(c1ccccc1)[Si](Oc2ccccc2)(Oc3ccccc3)Oc4ccccc4
9451,C24H18,612-71-5,306.400,orth nd (al or HOAc),173(3),462.0,1.19930,,"i H2O; s EtOH, eth, HOAc; vs bz; sl chl",c1ccc(cc1)c2cc(cc(c2)c3ccccc3)c4ccccc4
9453,C11H8OS,135-00-2,188.246,nd (dil al),56.5,300.0,1.189054,1.618154,"i H2O; s EtOH, eth",O=C(c1sccc1)c2ccccc2
9455,C7H5NS,5285-87-0,135.187,,,232.5,1.15318,,"i H2O; s EtOH, eth",N#CSc1ccccc1
9465,C7H8N2O,64-10-8,136.151,"mcl pr (w, al)",147.4(5),238.0,1.30225,,"sl H2O, eth, DMSO; s EtOH, AcOEt",NC(=O)Nc1ccccc1
9467,C8H8O,766-94-9,120.149,,,155.5,0.977020,1.522420,i H2O; vs eth,C=COc1ccccc1
9481,C8H6N2,253-52-1,130.147,,91.3(2),316.0,,,"s H2O, EtOH, bz; sl eth; i lig",c1ccc2cnncc2c1
9488,C22H14,213-46-7,278.346,"lf, pl (xyl, py, sub)",365(2),519.0,,,"i H2O; sl EtOH, bz, chl; s con sulf",c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc34
