,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
1990,C6H5ClS,106-54-7,144.622,,61,206.0,1.191120,1.548020,"i H2O; vs EtOH, eth, bz; sl chl",Sc1ccc(Cl)cc1
2000,C13H9ClO,5162-03-8,216.662,pl (chl-lig),54,330.0,,,,Clc1ccccc1C(=O)c2ccccc2
2003,C7H4ClNS,615-20-3,169.632,,24,248.0,1.371510,1.633810,"vs ace, eth, EtOH",Clc1sc2ccccc2n1
2007,C7H4ClNO,615-18-9,153.566,,7,201.5,1.345318,1.567820,,Clc1oc2ccccc2n1
2010,C7H4Cl2O,618-46-2,175.012,,,225.0,,1.567720,,ClC(=O)c1cccc(Cl)c1
2011,C7H4Cl2O,122-01-0,175.012,,16,222.0,1.377020,1.575620,sl chl,ClC(=O)c1ccc(Cl)cc1
2012,C13H11Cl,831-81-2,202.679,,7.5,299.0,1.124720,,vs ace,Clc1ccc(Cc2ccccc2)cc1
2013,C10H5ClN2,2698-41-1,188.613,wh cry,96,312.0,,,"sl H2O; s bz, diox, EtOAc, ace",Clc1ccccc1C=C(C#N)C#N
2016,C12H9Cl,2051-61-8,188.652,,16,284.5,1.157925,1.618125,"vs ace, eth, EtOH",Clc1cccc(c1)c2ccccc2
2020,C4H5Cl,25790-55-0,88.536,,,88.0,0.989120,1.477520,"vs ace, bz, eth",ClC[CH]=[C]=[CH2]
2031,C4H9ClO,1873-25-2,108.566,,,141.0,1.06825,1.440020,"s EtOH, eth",
2033,C4H6Cl2O,4635-59-0,140.996,,,173.5,1.258120,1.461620,s eth,ClCCCC(Cl)=O
2043,C6H15ClSi,18162-48-6,150.722,,89.5,125.0,,,,CC(C)(C)[Si](C)(C)Cl
2046,C4H5Cl,21020-24-6,88.536,,,68.5,1.421825,1.421825,,CC(Cl)C#C
2050,C7H6Cl2,611-19-8,161.029,liq,-17,217.0,1.26990,1.553020,"i H2O; sl EtOH, ctc; vs eth, bz",ClCc1ccccc1Cl
2051,C7H6Cl2,620-20-2,161.029,,,216.0,1.269515,1.555420,vs EtOH,ClCc1cccc(Cl)c1
2052,C7H6Cl2,104-83-6,161.029,nd (dil al),31,223.0,,,sl ctc,ClCc1ccc(Cl)cc1
2053,C3H8Cl2Si,1719-57-9,143.088,,,115.5,1.086520,1.436020,,C[Si](C)(Cl)CCl
2054,C4H6Cl2,1871-57-4,124.997,liq,-14,138.0,1.178220,1.4753,"vs EtOH, chl",ClCC(=C)CCl
2057,C8H6Cl2O,937-20-2,189.039,nd (al),101.5,270.0,,,"s EtOH, bz, MeOH",ClCC(=O)c1ccc(Cl)cc1
2073,CHBr2Cl,124-48-1,208.280,liq,-20,120.0,2.45120,1.548220,"i H2O; s EtOH, eth, ace, bz",ClC(Br)Br
2074,C3H7Cl3Si,18171-59-0,177.533,liq,-48,149.0,1.236920,1.46120,,C[Si](C)(Cl)C(Cl)Cl
2082,C2HClF2O2,76-04-0,130.478,hyg,25,122.0,,1.355920,s chl,OC(=O)C(F)(F)Cl
2091,C4H9ClO2,97-97-2,124.566,,,127.5,1.06820,1.415020,"sl EtOH, eth, bz, ctc",COC(CCl)OC
2093,C2H6AlCl,1184-58-3,92.504,hyg liq,-45,126.0,0.996,,reac H2O; s hx,C[Al](C)Cl
2095,C8H10ClN,698-01-1,155.625,,,205.0,1.106720,1.557820,"vs bz, EtOH",CN(C)c1ccccc1Cl
2096,C8H10ClN,6848-13-1,155.625,,,232.0,,,"sl H2O; s EtOH, ace, bz",CN(C)c1cccc(Cl)c1
2097,C8H10ClN,698-69-1,155.625,nd (al),35.5,231.0,1.0480100,,s EtOH,CN(C)c1ccc(Cl)cc1
2105,C8H9ClO,88-04-0,156.609,,115,246.0,,,"sl H2O, bz, peth; s EtOH, eth",Cc1cc(O)cc(C)c1Cl
2110,C2H7ClSi,1066-35-9,94.616,liq,-111,34.7,0.852,1.383020,,C[Si](C)Cl
2113,C6H3ClN2O4,97-00-7,202.552,ye orth (eth) nd (al) ye cry,50.2(9),315.0,1.498275,1.585760,"i H2O; sl EtOH; s eth, bz, CS2",[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O
2114,C6H3ClN2O4,606-21-3,202.552,"ye nd (al, HOAc)",88,315.0,1.686716,,"i H2O; s EtOH, eth, tol; sl chl",[O-][N+](=O)c1cccc(c1Cl)[N+]([O-])=O
2120,C3H3ClO3,3967-54-2,122.507,liq,110,213.0,1.504,1.454020,,ClC1COC(=O)O1
2125,C2H4Cl2O2S,1622-32-8,163.023,,,201.5,1.55520,1.492020,,ClCC[S](Cl)(=O)=O
2130,C8H9ClO,622-86-6,156.609,,28,218.5,,,"i H2O; vs EtOH, eth, ace, bz; sl ctc",ClCCOc1ccccc1
2131,C4H9ClO,7081-78-9,108.566,,,93.5,0.965520,1.405320,,CCOC(C)Cl
2134,C6H9ClO3,54527-68-3,164.586,,,198.0,1.205521,1.443020,"vs bz, eth, EtOH",CC(=O)CC(=O)OCCCl
2142,C3H4Cl2O2,627-11-2,142.969,,,155.0,1.384720,1.448320,"i H2O; s EtOH, eth, ace, bz; sl ctc",ClCCOC(Cl)=O
2146,C4H11ClSi,6917-76-6,122.669,,,89.5,0.867520,1.410520,,CC[Si](C)(C)Cl
2153,C4H9ClS,693-07-2,124.632,,,157.0,1.066325,,,CCSCCCl
2154,C4H7ClO,110-75-8,106.551,liq,-70,108.0,1.049520,1.437820,"vs EtOH, eth; sl chl",ClCCOC=C
2155,C6H5ClFN,367-21-5,145.562,,45.0,227.0,,,,Nc1ccc(F)c(Cl)c1
2156,C6H4ClF,348-51-6,130.547,liq,-43,137.6,1.223330,1.491830,"i H2O; s ace, bz",Fc1ccccc1Cl
2158,C6H4ClF,352-33-0,130.547,liq,-26.8,130.0,1.22615,1.499015,"i H2O; s EtOH, eth, bz",Fc1ccc(Cl)cc1
2162,CH2ClF,593-70-4,68.478,col gas,-135.1,-9.1,,,sl H2O; vs chl,FCCl
2163,C7H6ClF,443-83-4,144.574,,,154.0,1.19125,1.502620,,Cc1c(F)cccc1Cl
2164,C6H3ClFNO2,350-30-1,175.545,,41.5,229.5,,,,[O-][N+](=O)c1ccc(F)c(Cl)c1
2166,C4HClO3,96-02-6,132.502,,33,196.0,1.537525,1.498020,,ClC1=CC(=O)OC1=O
2167,C4ClF7,377-41-3,216.485,liq or gas,-39.1,25.0,1.60215,,,
2186,C6H4ClI,615-41-8,238.453,,0.7,234.5,1.951525,1.633125,i H2O; s ace; sl ctc,Clc1ccccc1I
2187,C6H4ClI,625-99-0,238.453,,,230.0,1.925520,,i H2O; s ace,Clc1cccc(I)c1
2189,C4H8ClI,10297-05-9,218.464,liq,,116.0,1.785,1.540020,,ClCCCCI
2197,C7H4ClNS,2131-55-7,169.632,nd (al),46,249.5,,,i H2O; s EtOH,Clc1ccc(cc1)N=C=S
2199,C7H8ClNO,93-50-5,157.598,nd or pr (dil al),52,260.0,,,"s EtOH, eth, bz, chl",COc1cc(Cl)ccc1N
2201,C3H7ClO,3188-13-4,94.540,,,83.0,1.018815,1.404020,,CCOCCl
2205,C4H9ClO,3587-57-3,108.566,,,109.0,0.988420,1.412520,"vs eth, EtOH",
2206,C3H5ClO2,625-56-9,108.524,,,116.0,1.19420,1.40920,"vs eth, EtOH",CC(=O)OCCl
2208,C7H8ClN,932-96-7,141.599,,,240.0,1.16911,1.583520,"s EtOH, ace, bz",CNc1ccc(Cl)cc1
2209,C7H8ClN,615-65-6,141.599,,7,220.0,1.15120,1.574822,"sl EtOH, bz",Cc1ccc(N)c(Cl)c1
2210,C7H8ClN,87-63-8,141.599,,,215.0,,,,Cc1cccc(Cl)c1N
2211,C7H8ClN,87-60-5,141.599,,1,245.0,,1.588020,"s H2O, EtOH; i eth, bz",Cc1c(N)cccc1Cl
2213,C7H8ClN,95-69-2,141.599,lf (al),30.3,244.0,,,s EtOH; sl ctc,Cc1cc(Cl)ccc1N
2214,C7H8ClN,95-79-4,141.599,,26,239.0,,,vs EtOH,Cc1ccc(Cl)cc1N
2225,C5H9Cl,503-60-6,104.578,,,109.0,0.927320,1.448520,"vs ace, eth, EtOH, chl",CC(C)=CCCl
2226,C5H7Cl,1111-97-3,102.563,liq,-61,76.0,0.906120,,,CC(C)(Cl)C#C
2229,C9H13ClSi,1833-51-8,184.738,,,225.0,1.024025,,"s ctc, CS2",C[Si](C)(CCl)c1ccccc1
2231,C6H13ClO2,4288-84-0,152.619,,,182.0,1.091020,1.437025,"s EtOH, eth",CC(C)OCC(O)CCl
2234,C7H6ClF,345-35-7,144.574,,,172.0,1.21625,1.515020,,Fc1ccccc1CCl
2238,C10H13ClO,89-68-9,184.662,,63,258.5,,,"vs H2O; s EtOH, eth, bz, ctc, peth, alk",CC(C)c1cc(Cl)c(C)cc1O
2239,C8H9ClO,824-94-2,156.609,nd,24.5,262.5,1.26120,1.58020,"vs ace, bz, eth",COc1ccc(CCl)cc1
2241,C8H9Cl,620-19-9,140.610,,,195.5,1.06420,1.534520,"i H2O; s EtOH, eth",Cc1cccc(CCl)c1
2242,C8H9Cl,104-82-5,140.610,,,201.0,1.051220,1.5380,i H2O; s EtOH; msc eth,Cc1ccc(CCl)cc1
2244,C4H7ClO,598-09-4,106.551,,,122.0,1.101120,1.431020,"vs H2O, eth",CC1(CCl)CO1
2251,C7H6ClNO2,83-42-1,171.582,nd (dil al),37.8,238.0,,1.537769,i H2O; s EtOH,Cc1c(Cl)cccc1[N+]([O-])=O
2252,C7H6ClNO2,13290-74-9,171.582,ye cry,42.5,249.0,,,vs eth,Cc1cc(ccc1Cl)[N+]([O-])=O
2253,C7H6ClNO2,89-60-1,171.582,,7.2(2),261.0,,1.557220,i H2O; s ctc,Cc1ccc(Cl)c(c1)[N+]([O-])=O
2254,C7H6ClNO2,121-86-8,171.582,nd (al),66.5,260.0,,1.547069,"sl H2O, chl; s EtOH, eth, HOAc",Cc1ccc(cc1Cl)[N+]([O-])=O
2255,C7H6ClNO2,89-59-8,171.582,mcl nd,36.5(10),242.0,1.255980,,"i H2O; s EtOH, eth; sl chl",Cc1ccc(Cl)cc1[N+]([O-])=O
2258,C7H7ClO,6640-27-3,142.583,,,195.5,1.178527,1.520027,"vs bz, eth, EtOH",Cc1ccc(O)c(Cl)c1
2260,C7H7ClO,87-64-9,142.583,,,189.0,,1.544920,sl H2O; s eth,Cc1cccc(Cl)c1O
2261,C7H7ClO,615-62-3,142.583,nd (al),55.5,228.0,,,"vs bz, eth, EtOH",Cc1ccc(O)cc1Cl
2262,C7H7ClO,1570-64-5,142.583,nd (peth),51,223.0,,,sl H2O; s peth,Cc1cc(Cl)ccc1O
2270,C4H7ClO,917-93-1,106.551,,,90.0,1.05315,1.416016,"vs eth, EtOH",CC(C)(Cl)C=O
2276,CH5ClSi,993-00-0,80.590,col gas,-135,7.0,,,,C[SiH2]Cl
2279,C3H7ClS,542-81-4,110.606,,,140.0,1.12320,1.490220,"s EtOH, eth, ace",CSCCCl
2280,C2H5ClS,2373-51-5,96.579,,,105.0,1.15325,1.496320,,CSCCl
2281,C4H11ClSi,2344-80-1,122.669,,,98.5,0.87925,1.417520,,C[Si](C)(C)CCl
2285,C8H8Cl2O2,2675-77-6,207.055,,131.2(3),268.0,,,,COc1cc(Cl)c(OC)cc1Cl
2304,C2H4ClNO2,598-92-5,109.512,,,124.5,1.283720,1.422420,"i H2O; s EtOH, ctc, alk",CC(Cl)[N+]([O-])=O
2309,C3H6ClNO2,600-25-9,123.539,,,142.0,1.20720,1.425120,"sl H2O, chl; s EtOH, eth, oils",CCC(Cl)[N+]([O-])=O
2312,C7H3ClF3NO2,121-17-5,225.553,liq,-1.3,222.0,1.51125,1.489320,,[O-][N+](=O)c1cc(ccc1Cl)C(F)(F)F
